date,store,sales,train_or_test,id,dayofmonth,dayofyear,year,weekofyear,is_month_start,is_month_end,sales_lag_91,sales_lag_98,sales_lag_105,sales_lag_112,sales_lag_119
2013-01-02,a,2.484906649788,train,,2,2,2013,1,0,0,,,,,
2013-01-03,a,2.70805020110221,train,,3,3,2013,1,0,0,,,,,
2013-01-04,a,2.63905732961526,train,,4,4,2013,1,0,0,,,,,
2013-01-05,a,2.39789527279837,train,,5,5,2013,1,0,0,,,,,
2013-01-06,a,2.56494935746154,train,,6,6,2013,1,0,0,,,,,
2013-01-07,a,2.39789527279837,train,,7,7,2013,2,0,0,,,,,
2013-01-08,a,2.30258509299405,train,,8,8,2013,2,0,0,,,,,
2013-01-09,a,2.56494935746154,train,,9,9,2013,2,0,0,,,,,
2013-01-10,a,2.30258509299405,train,,10,10,2013,2,0,0,,,,,
2013-01-11,a,2.30258509299405,train,,11,11,2013,2,0,0,,,,,
2013-01-12,a,2.07944154167984,train,,12,12,2013,2,0,0,,,,,
2013-01-13,a,2.39789527279837,train,,13,13,2013,2,0,0,,,,,
2013-01-14,a,2.56494935746154,train,,14,14,2013,3,0,0,,,,,
2013-01-15,a,1.79175946922806,train,,15,15,2013,3,0,0,,,,,
2013-01-16,a,2.07944154167984,train,,16,16,2013,3,0,0,,,,,
2013-01-17,a,2.83321334405622,train,,17,17,2013,3,0,0,,,,,
2013-01-18,a,2.07944154167984,train,,18,18,2013,3,0,0,,,,,
2013-01-19,1,2.94443897916644,train,,19,19,2013,3,0,0,,,,,
2013-01-20,1,2.77258872223978,train,,20,20,2013,3,0,0,,,,,
2013-01-21,1,2.19722457733622,train,,21,21,2013,4,0,0,,,,,
2013-01-22,1,2.07944154167984,train,,22,22,2013,4,0,0,,,,,
2013-01-23,1,2.30258509299405,train,,23,23,2013,4,0,0,,,,,
2013-01-24,1,2.19722457733622,train,,24,24,2013,4,0,0,,,,,
2013-01-25,1,2.70805020110221,train,,25,25,2013,4,0,0,,,,,
2013-01-26,1,2.56494935746154,train,,26,26,2013,4,0,0,,,,,
2013-01-27,1,2.56494935746154,train,,27,27,2013,4,0,0,,,,,
2013-01-28,1,2.484906649788,train,,28,28,2013,5,0,0,,,,,
2013-01-29,1,1.94591014905531,train,,29,29,2013,5,0,0,,,,,
2013-01-30,1,2.30258509299405,train,,30,30,2013,5,0,0,,,,,
2013-01-31,1,2.63905732961526,train,,31,31,2013,5,0,1,,,,,
2013-02-01,1,2.484906649788,train,,1,32,2013,5,1,0,,,,,
2013-02-02,1,3.09104245335832,train,,2,33,2013,5,0,0,,,,,
2013-02-03,1,2.77258872223978,train,,3,34,2013,5,0,0,,,,,
2013-02-04,1,2.70805020110221,train,,4,35,2013,6,0,0,,,,,
2013-02-05,1,2.30258509299405,train,,5,36,2013,6,0,0,,,,,
2013-02-06,1,2.39789527279837,train,,6,37,2013,6,0,0,,,,,
2013-02-07,1,2.63905732961526,train,,7,38,2013,6,0,0,,,,,
